image,mask,chip_id,xmin,ymin,xmax,ymax,crs,width_px,height_px
data/annotations/pinheiros_seg/images/r0000_c0000.png,data/annotations/pinheiros_seg/masks/r0000_c0000.png,r0000_c0000,326079.962,7391791.145,326182.362,7391893.545,EPSG:31983,1024,1024
data/annotations/pinheiros_seg/images/r0000_c0001.png,data/annotations/pinheiros_seg/masks/r0000_c0001.png,r0000_c0001,326182.362,7391791.145,326284.762,7391893.545,EPSG:31983,1024,1024
data/annotations/pinheiros_seg/images/r0000_c0002.png,data/annotations/pinheiros_seg/masks/r0000_c0002.png,r0000_c0002,326284.762,7391791.145,326387.162,7391893.545,EPSG:31983,1024,1024
data/annotations/pinheiros_seg/images/r0000_c0003.png,data/annotations/pinheiros_seg/masks/r0000_c0003.png,r0000_c0003,326387.162,7391791.145,326489.562,7391893.545,EPSG:31983,1024,1024
data/annotations/pinheiros_seg/images/r0000_c0004.png,data/annotations/pinheiros_seg/masks/r0000_c0004.png,r0000_c0004,326489.562,7391791.145,326591.962,7391893.545,EPSG:31983,1024,1024
data/annotations/pinheiros_seg/images/r0000_c0005.png,data/annotations/pinheiros_seg/masks/r0000_c0005.png,r0000_c0005,326591.962,7391791.145,326694.362,7391893.545,EPSG:31983,1024,1024
data/annotations/pinheiros_seg/images/r0000_c0006.png,data/annotations/pinheiros_seg/masks/r0000_c0006.png,r0000_c0006,326694.362,7391791.145,326796.762,7391893.545,EPSG:31983,1024,1024
data/annotations/pinheiros_seg/images/r0000_c0007.png,data/annotations/pinheiros_seg/masks/r0000_c0007.png,r0000_c0007,326796.762,7391791.145,326899.162,7391893.545,EPSG:31983,1024,1024
data/annotations/pinheiros_seg/images/r0000_c0008.png,data/annotations/pinheiros_seg/masks/r0000_c0008.png,r0000_c0008,326899.162,7391791.145,327001.562,7391893.545,EPSG:31983,1024,1024
data/annotations/pinheiros_seg/images/r0000_c0009.png,data/annotations/pinheiros_seg/masks/r0000_c0009.png,r0000_c0009,327001.562,7391791.145,327103.962,7391893.545,EPSG:31983,1024,1024
data/annotations/pinheiros_seg/images/r0000_c0010.png,data/annotations/pinheiros_seg/masks/r0000_c0010.png,r0000_c0010,327103.962,7391791.145,327206.362,7391893.545,EPSG:31983,1024,1024
data/annotations/pinheiros_seg/images/r0000_c0011.png,data/annotations/pinheiros_seg/masks/r0000_c0011.png,r0000_c0011,327206.362,7391791.145,327308.762,7391893.545,EPSG:31983,1024,1024
data/annotations/pinheiros_seg/images/r0000_c0012.png,data/annotations/pinheiros_seg/masks/r0000_c0012.png,r0000_c0012,327308.762,7391791.145,327411.162,7391893.545,EPSG:31983,1024,1024
data/annotations/pinheiros_seg/images/r0000_c0013.png,data/annotations/pinheiros_seg/masks/r0000_c0013.png,r0000_c0013,327411.162,7391791.145,327513.562,7391893.545,EPSG:31983,1024,1024
data/annotations/pinheiros_seg/images/r0000_c0014.png,data/annotations/pinheiros_seg/masks/r0000_c0014.png,r0000_c0014,327513.562,7391791.145,327615.962,7391893.545,EPSG:31983,1024,1024
data/annotations/pinheiros_seg/images/r0000_c0015.png,data/annotations/pinheiros_seg/masks/r0000_c0015.png,r0000_c0015,327615.962,7391791.145,327718.362,7391893.545,EPSG:31983,1024,1024
data/annotations/pinheiros_seg/images/r0000_c0016.png,data/annotations/pinheiros_seg/masks/r0000_c0016.png,r0000_c0016,327718.362,7391791.145,327820.762,7391893.545,EPSG:31983,1024,1024
data/annotations/pinheiros_seg/images/r0000_c0017.png,data/annotations/pinheiros_seg/masks/r0000_c0017.png,r0000_c0017,327820.762,7391791.145,327923.162,7391893.545,EPSG:31983,1024,1024
data/annotations/pinheiros_seg/images/r0000_c0018.png,data/annotations/pinheiros_seg/masks/r0000_c0018.png,r0000_c0018,327923.162,7391791.145,328025.562,7391893.545,EPSG:31983,1024,1024
data/annotations/pinheiros_seg/images/r0000_c0019.png,data/annotations/pinheiros_seg/masks/r0000_c0019.png,r0000_c0019,328025.562,7391791.145,328127.962,7391893.545,EPSG:31983,1024,1024
data/annotations/pinheiros_seg/images/r0000_c0020.png,data/annotations/pinheiros_seg/masks/r0000_c0020.png,r0000_c0020,328127.962,7391791.145,328230.362,7391893.545,EPSG:31983,1024,1024
data/annotations/pinheiros_seg/images/r0000_c0021.png,data/annotations/pinheiros_seg/masks/r0000_c0021.png,r0000_c0021,328230.362,7391791.145,328332.762,7391893.545,EPSG:31983,1024,1024
data/annotations/pinheiros_seg/images/r0001_c0000.png,data/annotations/pinheiros_seg/masks/r0001_c0000.png,r0001_c0000,326079.962,7391893.545,326182.362,7391995.945,EPSG:31983,1024,1024
data/annotations/pinheiros_seg/images/r0001_c0001.png,data/annotations/pinheiros_seg/masks/r0001_c0001.png,r0001_c0001,326182.362,7391893.545,326284.762,7391995.945,EPSG:31983,1024,1024
data/annotations/pinheiros_seg/images/r0001_c0002.png,data/annotations/pinheiros_seg/masks/r0001_c0002.png,r0001_c0002,326284.762,7391893.545,326387.162,7391995.945,EPSG:31983,1024,1024
data/annotations/pinheiros_seg/images/r0001_c0003.png,data/annotations/pinheiros_seg/masks/r0001_c0003.png,r0001_c0003,326387.162,7391893.545,326489.562,7391995.945,EPSG:31983,1024,1024
data/annotations/pinheiros_seg/images/r0001_c0004.png,data/annotations/pinheiros_seg/masks/r0001_c0004.png,r0001_c0004,326489.562,7391893.545,326591.962,7391995.945,EPSG:31983,1024,1024
data/annotations/pinheiros_seg/images/r0001_c0005.png,data/annotations/pinheiros_seg/masks/r0001_c0005.png,r0001_c0005,326591.962,7391893.545,326694.362,7391995.945,EPSG:31983,1024,1024
data/annotations/pinheiros_seg/images/r0001_c0006.png,data/annotations/pinheiros_seg/masks/r0001_c0006.png,r0001_c0006,326694.362,7391893.545,326796.762,7391995.945,EPSG:31983,1024,1024
